cholera	Cholera	A00
typhoid fever	Typhoid Fever	A01.0
paratyphoid fever	Paratyphoid Fever	A01.1
salmonella enteritis	Salmonella Enteritis	A02.0
shigellosis	Shigellosis	A03
amoebiasis	Amoebiasis	A06
amoebic dysentery	Amoebic Dysentery	A06.0
amoebic liver abscess	Amoebic Liver Abscess	A06.4
acute gastroenteritis	Acute Gastroenteritis	A09
tuberculosis of lung	Pulmonary TB	A15.0
tuberculosis of lymph nodes	TB Lymphadenitis	A15.4
miliary tuberculosis	Miliary TB	A19
tuberculous meningitis	TB Meningitis	A17.0
plague	Plague	A20
brucellosis	Brucellosis	A23
tetanus	Tetanus	A35
diphtheria	Diphtheria	A36
whooping cough	Whooping Cough	A37
scarlet fever	Scarlet Fever	A38
meningococcal infection	Meningococcal Infection	A39
sepsis	Sepsis	A41
septic shock	Septic Shock	A41.9
actinomycosis	Actinomycosis	A42
gas gangrene	Gas Gangrene	A48.0
syphilis	Syphilis	A53
gonococcal infection	Gonorrhea	A54
chlamydial infection	Chlamydia	A56
chancroid	Chancroid	A57
leptospirosis	Leptospirosis	A27
leprosy	Leprosy	A30
rabies	Rabies	A82
herpes simplex	Herpes Simplex	B00
varicella	Chickenpox	B01
herpes zoster	Herpes Zoster	B02
measles	Measles	B05
rubella	Rubella	B06
viral hepatitis a	Hepatitis A	B15
viral hepatitis b	Hepatitis B	B16
viral hepatitis c	Hepatitis C	B17.1
viral hepatitis e	Hepatitis E	B17.2
hiv disease	HIV/AIDS	B20
cytomegalovirus	CMV	B25
mumps	Mumps	B26
infectious mononucleosis	Mono	B27
hand foot and mouth disease	HFMD	B08.4
dengue fever	Dengue Fever	A90
dengue hemorrhagic fever	Dengue Hemorrhagic Fever	A91
chikungunya	Chikungunya	A92.0
zika virus	Zika	A92.5
japanese encephalitis	Japanese Encephalitis	A83.0
malaria due to plasmodium falciparum	Falciparum Malaria	B50
malaria due to plasmodium vivax	Vivax Malaria	B51
malaria unspecified	Malaria	B54
kala azar	Visceral Leishmaniasis	B55.0
cutaneous leishmaniasis	Cutaneous Leishmaniasis	B55.1
filariasis	Filariasis	B74
hookworm disease	Hookworm	B76
ascariasis	Ascariasis	B77
strongyloidiasis	Strongyloidiasis	B78
enterobiasis	Pinworm	B80
taeniasis	Tapeworm	B68
cysticercosis	Cysticercosis	B69
echinococcosis	Hydatid Disease	B67
candidiasis	Candidiasis	B37
oral thrush	Oral Candidiasis	B37.0
vaginal candidiasis	Vaginal Candidiasis	B37.3
aspergillosis	Aspergillosis	B44
cryptococcosis	Cryptococcosis	B45
mucormycosis	Mucormycosis	B46
tinea corporis	Ringworm	B35.4
tinea pedis	Athlete's Foot	B35.3
tinea capitis	Scalp Ringworm	B35.0
tinea cruris	Jock Itch	B35.6
onychomycosis	Nail Fungus	B35.1
pityriasis versicolor	Pityriasis Versicolor	B36.0
scabies	Scabies	B86
pediculosis	Lice	B85
covid 19	COVID-19	U07.1
post covid condition	Long COVID	U09.9
malignant neoplasm of lip	Lip Cancer	C00
malignant neoplasm of tongue	Tongue Cancer	C02
malignant neoplasm of mouth	Oral Cancer	C06
malignant neoplasm of oropharynx	Oropharyngeal Cancer	C10
malignant neoplasm of nasopharynx	Nasopharyngeal Cancer	C11
malignant neoplasm of esophagus	Esophageal Cancer	C15
malignant neoplasm of stomach	Gastric Cancer	C16
malignant neoplasm of colon	Colon Cancer	C18
malignant neoplasm of rectum	Rectal Cancer	C20
malignant neoplasm of anus	Anal Cancer	C21
malignant neoplasm of liver	Liver Cancer	C22
hepatocellular carcinoma	HCC	C22.0
cholangiocarcinoma	Cholangiocarcinoma	C22.1
malignant neoplasm of pancreas	Pancreatic Cancer	C25
malignant neoplasm of larynx	Laryngeal Cancer	C32
malignant neoplasm of bronchus and lung	Lung Cancer	C34
small cell lung cancer	Small Cell Lung Cancer	C34
non small cell lung cancer	Non-Small Cell Lung Cancer	C34
mesothelioma	Mesothelioma	C45
malignant melanoma	Melanoma	C43
basal cell carcinoma	Basal Cell Carcinoma	C44
squamous cell carcinoma of skin	Squamous Cell Carcinoma	C44
malignant neoplasm of breast	Breast Cancer	C50
malignant neoplasm of cervix uteri	Cervical Cancer	C53
malignant neoplasm of endometrium	Endometrial Cancer	C54
malignant neoplasm of ovary	Ovarian Cancer	C56
malignant neoplasm of prostate	Prostate Cancer	C61
malignant neoplasm of testis	Testicular Cancer	C62
malignant neoplasm of kidney	Renal Cell Carcinoma	C64
malignant neoplasm of bladder	Bladder Cancer	C67
malignant neoplasm of brain	Brain Cancer	C71
glioblastoma	Glioblastoma	C71
malignant neoplasm of thyroid	Thyroid Cancer	C73
hodgkin lymphoma	Hodgkin Lymphoma	C81
non hodgkin lymphoma	Non-Hodgkin Lymphoma	C85
multiple myeloma	Multiple Myeloma	C90
acute lymphoblastic leukemia	ALL	C91.0
chronic lymphocytic leukemia	CLL	C91.1
acute myeloid leukemia	AML	C92.0
chronic myeloid leukemia	CML	C92.1
myelodysplastic syndrome	MDS	D46
polycythemia vera	Polycythemia Vera	D45
essential thrombocythemia	Essential Thrombocythemia	D47.3
benign neoplasm of colon	Colonic Polyp	D12
uterine leiomyoma	Uterine Fibroid	D25
benign neoplasm of ovary	Ovarian Cyst	D27
lipoma	Lipoma	D17
hemangioma	Hemangioma	D18.0
iron deficiency anemia	Iron Deficiency Anemia	D50
vitamin b12 deficiency anemia	B12 Deficiency Anemia	D51
folate deficiency anemia	Folate Deficiency Anemia	D52
anemia of chronic disease	Anemia of Chronic Disease	D63
aplastic anemia	Aplastic Anemia	D61
hemolytic anemia	Hemolytic Anemia	D59
sickle cell disease	Sickle Cell Disease	D57
thalassemia	Thalassemia	D56
thalassemia major	Thalassemia Major	D56.1
thalassemia minor	Thalassemia Minor/Trait	D56.3
g6pd deficiency	G6PD Deficiency	D55
hereditary spherocytosis	Hereditary Spherocytosis	D58
idiopathic thrombocytopenic purpura	ITP	D69.3
thrombotic thrombocytopenic purpura	TTP	M31.1
hemophilia a	Hemophilia A	D66
hemophilia b	Hemophilia B	D67
von willebrand disease	Von Willebrand Disease	D68.0
disseminated intravascular coagulation	DIC	D65
neutropenia	Neutropenia	D70
agranulocytosis	Agranulocytosis	D70
lymphocytosis	Lymphocytosis	D72.8
eosinophilia	Eosinophilia	D72.1
pancytopenia	Pancytopenia	D61.9
splenomegaly	Splenomegaly	D73.1
immunodeficiency	Immunodeficiency	D84
sarcoidosis	Sarcoidosis	D86
congenital hypothyroidism	Congenital Hypothyroidism	E03.1
autoimmune thyroiditis	Hashimoto's Thyroiditis	E06.3
subacute thyroiditis	Subacute Thyroiditis	E06.1
thyrotoxicosis	Thyrotoxicosis	E05
graves disease	Graves' Disease	E05.0
toxic multinodular goiter	Toxic MNG	E05.2
thyroid nodule	Thyroid Nodule	E04.1
multinodular goiter	MNG	E04.2
iodine deficiency	Iodine Deficiency	E01
hyperparathyroidism	Hyperparathyroidism	E21
hypoparathyroidism	Hypoparathyroidism	E20
cushing syndrome	Cushing's Syndrome	E24
addison disease	Addison's Disease	E27.1
adrenal insufficiency	Adrenal Insufficiency	E27.4
pheochromocytoma	Pheochromocytoma	E27.5
congenital adrenal hyperplasia	CAH	E25
type 1 diabetes mellitus	Type 1 DM	E10
type 2 diabetes mellitus	Type 2 DM	E11
gestational diabetes	GDM	O24.4
diabetic ketoacidosis	DKA	E10.1
hyperosmolar hyperglycemic state	HHS	E11.0
diabetic nephropathy	Diabetic Nephropathy	E11.21
diabetic retinopathy	Diabetic Retinopathy	E11.3
diabetic neuropathy	Diabetic Neuropathy	E11.4
diabetic foot	Diabetic Foot	E11.6
hypoglycemia	Hypoglycemia	E16.2
metabolic syndrome	Metabolic Syndrome	E88.81
hyperlipidemia	Hyperlipidemia	E78
familial hypercholesterolemia	Familial Hypercholesterolemia	E78.0
hypertriglyceridemia	Hypertriglyceridemia	E78.1
obesity	Obesity	E66
morbid obesity	Morbid Obesity	E66.0
malnutrition	Malnutrition	E46
kwashiorkor	Kwashiorkor	E40
marasmus	Marasmus	E41
vitamin a deficiency	Vitamin A Deficiency	E50
thiamine deficiency	Thiamine Deficiency	E51
pellagra	Pellagra	E52
vitamin b12 deficiency	Vitamin B12 Deficiency	E53.8
vitamin d deficiency	Vitamin D Deficiency	E55
rickets	Rickets	E55.0
vitamin c deficiency	Scurvy	E54
zinc deficiency	Zinc Deficiency	E60
iron deficiency	Iron Deficiency	E61.1
dehydration	Dehydration	E86
hypernatremia	Hypernatremia	E87.0
hyponatremia	Hyponatremia	E87.1
hyperkalemia	Hyperkalemia	E87.5
hypokalemia	Hypokalemia	E87.6
hypercalcemia	Hypercalcemia	E83.5
hypocalcemia	Hypocalcemia	E83.5
hyperuricemia	Hyperuricemia	E79.0
gout	Gout	M10
amyloidosis	Amyloidosis	E85
pcos	PCOS	E28.2
polycystic ovarian syndrome	PCOS	E28.2
hyperprolactinemia	Hyperprolactinemia	E22.1
acromegaly	Acromegaly	E22.0
growth hormone deficiency	GH Deficiency	E23.0
diabetes insipidus	Diabetes Insipidus	E23.2
dementia in alzheimer disease	Alzheimer's Dementia	F00
vascular dementia	Vascular Dementia	F01
dementia unspecified	Dementia	F03
delirium	Delirium	F05
alcohol dependence	Alcohol Dependence	F10.2
alcohol withdrawal	Alcohol Withdrawal	F10.3
opioid dependence	Opioid Dependence	F11.2
cannabis dependence	Cannabis Dependence	F12.2
tobacco dependence	Tobacco Dependence	F17.2
schizophrenia	Schizophrenia	F20
schizoaffective disorder	Schizoaffective Disorder	F25
bipolar disorder	Bipolar Disorder	F31
major depressive disorder	Depression	F32
recurrent depressive disorder	Recurrent Depression	F33
persistent depressive disorder	Dysthymia	F34.1
generalized anxiety disorder	GAD	F41.1
panic disorder	Panic Disorder	F41.0
social anxiety disorder	Social Phobia	F40.1
specific phobia	Specific Phobia	F40.2
agoraphobia	Agoraphobia	F40.0
obsessive compulsive disorder	OCD	F42
post traumatic stress disorder	PTSD	F43.1
adjustment disorder	Adjustment Disorder	F43.2
dissociative disorder	Dissociative Disorder	F44
conversion disorder	Conversion Disorder	F44.4
somatoform disorder	Somatoform Disorder	F45
anorexia nervosa	Anorexia Nervosa	F50.0
bulimia nervosa	Bulimia Nervosa	F50.2
insomnia	Insomnia	F51.0
hypersomnia	Hypersomnia	F51.1
sexual dysfunction	Sexual Dysfunction	F52
erectile dysfunction	Erectile Dysfunction	F52.2
gender dysphoria	Gender Dysphoria	F64
intellectual disability	Intellectual Disability	F79
autism spectrum disorder	ASD	F84.0
adhd	ADHD	F90
attention deficit hyperactivity disorder	ADHD	F90
conduct disorder	Conduct Disorder	F91
tic disorder	Tic Disorder	F95
tourette syndrome	Tourette Syndrome	F95.2
stuttering	Stuttering	F98.5
enuresis	Enuresis	F98.0
bacterial meningitis	Bacterial Meningitis	G00
viral meningitis	Viral Meningitis	G02
encephalitis	Encephalitis	G04
brain abscess	Brain Abscess	G06
parkinson disease	Parkinson's Disease	G20
secondary parkinsonism	Secondary Parkinsonism	G21
huntington disease	Huntington's Disease	G10
hereditary ataxia	Hereditary Ataxia	G11
motor neuron disease	Motor Neuron Disease	G12.2
amyotrophic lateral sclerosis	ALS	G12.2
spinal muscular atrophy	SMA	G12.0
multiple sclerosis	MS	G35
guillain barre syndrome	GBS	G61.0
myasthenia gravis	Myasthenia Gravis	G70.0
muscular dystrophy	Muscular Dystrophy	G71.0
epilepsy	Epilepsy	G40
status epilepticus	Status Epilepticus	G41
migraine	Migraine	G43
migraine with aura	Migraine with Aura	G43.1
tension type headache	Tension Headache	G44.2
cluster headache	Cluster Headache	G44.0
trigeminal neuralgia	Trigeminal Neuralgia	G50.0
bell palsy	Bell's Palsy	G51.0
carpal tunnel syndrome	CTS	G56.0
sciatic nerve lesion	Sciatica	G57.0
peripheral neuropathy	Peripheral Neuropathy	G62
autonomic neuropathy	Autonomic Neuropathy	G90
hydrocephalus	Hydrocephalus	G91
cerebral palsy	Cerebral Palsy	G80
narcolepsy	Narcolepsy	G47.4
sleep apnea	Sleep Apnea	G47.3
restless legs syndrome	RLS	G25.8
essential tremor	Essential Tremor	G25.0
dystonia	Dystonia	G24
hordeolum	Stye	H00.0
chalazion	Chalazion	H00.1
blepharitis	Blepharitis	H01.0
conjunctivitis	Conjunctivitis	H10
allergic conjunctivitis	Allergic Conjunctivitis	H10.1
keratitis	Keratitis	H16
corneal ulcer	Corneal Ulcer	H16.0
iridocyclitis	Iridocyclitis	H20
uveitis	Uveitis	H20
cataract	Cataract	H26
age related cataract	Senile Cataract	H25
open angle glaucoma	Open Angle Glaucoma	H40.1
angle closure glaucoma	Angle Closure Glaucoma	H40.2
retinal detachment	Retinal Detachment	H33
macular degeneration	AMD	H35.3
diabetic macular edema	DME	H36
central retinal artery occlusion	CRAO	H34.1
central retinal vein occlusion	CRVO	H34.8
optic neuritis	Optic Neuritis	H46
papilledema	Papilledema	H47.1
strabismus	Squint	H50
amblyopia	Lazy Eye	H53.0
myopia	Myopia	H52.1
hypermetropia	Hypermetropia	H52.0
astigmatism	Astigmatism	H52.2
presbyopia	Presbyopia	H52.4
dry eye syndrome	Dry Eye	H04.1
pterygium	Pterygium	H11.0
subconjunctival hemorrhage	Subconjunctival Hemorrhage	H11.3
otitis externa	Otitis Externa	H60
acute otitis media	Acute Otitis Media	H66.0
chronic otitis media	Chronic Otitis Media	H66.1
otitis media with effusion	Glue Ear	H65.3
cholesteatoma	Cholesteatoma	H71
otosclerosis	Otosclerosis	H80
meniere disease	Meniere's Disease	H81.0
benign paroxysmal positional vertigo	BPPV	H81.1
vestibular neuritis	Vestibular Neuritis	H81.2
tinnitus	Tinnitus	H93.1
sensorineural hearing loss	SNHL	H90.5
conductive hearing loss	Conductive Hearing Loss	H90.0
presbyacusis	Age-Related Hearing Loss	H91.1
sudden hearing loss	Sudden SNHL	H91.2
acute rheumatic fever	Acute Rheumatic Fever	I00
rheumatic heart disease	RHD	I09
mitral stenosis	Mitral Stenosis	I05.0
mitral regurgitation	Mitral Regurgitation	I05.1
mitral valve prolapse	MVP	I34.1
aortic stenosis	Aortic Stenosis	I06.0
aortic regurgitation	Aortic Regurgitation	I06.1
tricuspid regurgitation	Tricuspid Regurgitation	I07.1
essential hypertension	Essential Hypertension	I10
hypertensive heart disease	Hypertensive Heart Disease	I11
hypertensive renal disease	Hypertensive Renal Disease	I12
secondary hypertension	Secondary Hypertension	I15
malignant hypertension	Malignant Hypertension	I10
resistant hypertension	Resistant Hypertension	I10
unstable angina	Unstable Angina	I20.0
prinzmetal angina	Variant Angina	I20.1
stable angina	Stable Angina	I20.8
acute st elevation myocardial infarction	STEMI	I21.0
acute non st elevation myocardial infarction	NSTEMI	I21.4
old myocardial infarction	Old MI	I25.2
ischemic cardiomyopathy	Ischemic Cardiomyopathy	I25.5
dilated cardiomyopathy	DCM	I42.0
hypertrophic cardiomyopathy	HCM	I42.1
restrictive cardiomyopathy	RCM	I42.5
acute myocarditis	Myocarditis	I40
acute pericarditis	Pericarditis	I30
pericardial effusion	Pericardial Effusion	I31.3
cardiac tamponade	Cardiac Tamponade	I31.4
constrictive pericarditis	Constrictive Pericarditis	I31.1
infective endocarditis	Infective Endocarditis	I33
heart failure	Heart Failure	I50
congestive heart failure	CHF	I50.0
left ventricular failure	LVF	I50.1
cor pulmonale	Cor Pulmonale	I27.9
atrial fibrillation	AF	I48
atrial flutter	Atrial Flutter	I48.0
supraventricular tachycardia	SVT	I47.1
ventricular tachycardia	VT	I47.2
ventricular fibrillation	VF	I49.0
heart block	Heart Block	I44
complete heart block	Complete Heart Block	I44.2
sick sinus syndrome	SSS	I49.5
cardiac arrest	Cardiac Arrest	I46
aortic aneurysm	Aortic Aneurysm	I71
aortic dissection	Aortic Dissection	I71.0
peripheral arterial disease	PAD	I73.9
raynaud syndrome	Raynaud's	I73.0
thromboangiitis obliterans	Buerger's Disease	I73.1
varicose veins	Varicose Veins	I83
deep vein thrombosis	DVT	I82
pulmonary embolism	PE	I26
cerebral infarction	Ischemic Stroke	I63
intracerebral hemorrhage	Hemorrhagic Stroke	I61
subarachnoid hemorrhage	SAH	I60
transient ischemic attack	TIA	G45
carotid artery stenosis	Carotid Stenosis	I65.2
hypertensive encephalopathy	Hypertensive Encephalopathy	I67.4
acute nasopharyngitis	Common Cold	J00
acute sinusitis	Acute Sinusitis	J01
chronic sinusitis	Chronic Sinusitis	J32
allergic rhinitis	Allergic Rhinitis	J30
vasomotor rhinitis	Vasomotor Rhinitis	J30.0
nasal polyps	Nasal Polyps	J33
deviated nasal septum	DNS	J34.2
acute pharyngitis	Pharyngitis	J02
acute tonsillitis	Tonsillitis	J03
peritonsillar abscess	Peritonsillar Abscess	J36
acute laryngitis	Laryngitis	J04
croup	Croup	J05.0
epiglottitis	Epiglottitis	J05.1
upper respiratory infection	URI	J06.9
acute bronchitis	Acute Bronchitis	J20
bronchiolitis	Bronchiolitis	J21
pneumonia bacterial	Bacterial Pneumonia	J15
pneumonia viral	Viral Pneumonia	J12
pneumonia aspiration	Aspiration Pneumonia	J69
pneumonia community acquired	CAP	J18
hospital acquired pneumonia	HAP	J18
lung abscess	Lung Abscess	J85
empyema	Empyema	J86
copd	COPD	J44
chronic bronchitis	Chronic Bronchitis	J42
emphysema	Emphysema	J43
asthma	Asthma	J45
acute severe asthma	Status Asthmaticus	J46
bronchiectasis	Bronchiectasis	J47
pneumothorax	Pneumothorax	J93
tension pneumothorax	Tension Pneumothorax	J93.0
pleural effusion	Pleural Effusion	J91
pulmonary fibrosis	Pulmonary Fibrosis	J84.1
idiopathic pulmonary fibrosis	IPF	J84.1
sarcoidosis of lung	Pulmonary Sarcoidosis	D86.0
acute respiratory distress syndrome	ARDS	J80
respiratory failure	Respiratory Failure	J96
pulmonary hypertension	Pulmonary Hypertension	I27.0
obstructive sleep apnea	OSA	G47.3
eosinophilic pneumonia	Eosinophilic Pneumonia	J82
dental caries	Dental Caries	K02
gingivitis	Gingivitis	K05.1
periodontitis	Periodontitis	K05.3
periapical abscess	Dental Abscess	K04.7
oral leukoplakia	Oral Leukoplakia	K13.2
oral submucous fibrosis	OSMF	K13.7
gastroesophageal reflux	GERD	K21
barrett esophagus	Barrett's Esophagus	K22.7
esophageal varices	Esophageal Varices	I85
achalasia	Achalasia	K22.0
gastric ulcer	Gastric Ulcer	K25
duodenal ulcer	Duodenal Ulcer	K26
peptic ulcer	Peptic Ulcer	K27
helicobacter pylori infection	H. Pylori	K29.7
acute gastritis	Acute Gastritis	K29.0
chronic gastritis	Chronic Gastritis	K29.5
functional dyspepsia	Functional Dyspepsia	K30
acute appendicitis	Appendicitis	K35
inguinal hernia	Inguinal Hernia	K40
umbilical hernia	Umbilical Hernia	K42
incisional hernia	Incisional Hernia	K43
hiatal hernia	Hiatal Hernia	K44
crohn disease	Crohn's Disease	K50
ulcerative colitis	Ulcerative Colitis	K51
irritable bowel syndrome	IBS	K58
diverticulosis	Diverticulosis	K57
diverticulitis	Diverticulitis	K57
intestinal obstruction	Intestinal Obstruction	K56
volvulus	Volvulus	K56.2
intussusception	Intussusception	K56.1
celiac disease	Celiac Disease	K90.0
lactose intolerance	Lactose Intolerance	E73
fistula in ano	Anal Fistula	K60.3
anal fissure	Anal Fissure	K60.0
hemorrhoids	Hemorrhoids	K64
rectal prolapse	Rectal Prolapse	K62.3
alcoholic liver disease	Alcoholic Liver Disease	K70
non alcoholic fatty liver disease	NAFLD	K76.0
non alcoholic steatohepatitis	NASH	K75.8
hepatitis autoimmune	Autoimmune Hepatitis	K75.4
liver cirrhosis	Liver Cirrhosis	K74
hepatic encephalopathy	Hepatic Encephalopathy	K72
portal hypertension	Portal Hypertension	K76.6
liver abscess	Liver Abscess	K75.0
cholelithiasis	Gallstones	K80
acute cholecystitis	Acute Cholecystitis	K81.0
chronic cholecystitis	Chronic Cholecystitis	K81.1
choledocholithiasis	CBD Stone	K80.5
cholangitis	Cholangitis	K83.0
acute pancreatitis	Acute Pancreatitis	K85
chronic pancreatitis	Chronic Pancreatitis	K86.1
pancreatic pseudocyst	Pancreatic Pseudocyst	K86.3
impetigo	Impetigo	L01
cutaneous abscess	Skin Abscess	L02
cellulitis	Cellulitis	L03
pilonidal cyst	Pilonidal Cyst	L05
pemphigus	Pemphigus	L10
bullous pemphigoid	Bullous Pemphigoid	L12
dermatitis herpetiformis	Dermatitis Herpetiformis	L13
atopic dermatitis	Eczema	L20
seborrhoeic dermatitis	Seborrhoeic Dermatitis	L21
contact dermatitis	Contact Dermatitis	L25
psoriasis	Psoriasis	L40
psoriatic arthritis	Psoriatic Arthritis	L40.5
pityriasis rosea	Pityriasis Rosea	L42
urticaria	Urticaria	L50
angioedema	Angioedema	T78.3
erythema nodosum	Erythema Nodosum	L52
erythema multiforme	Erythema Multiforme	L51
stevens johnson syndrome	SJS	L51.1
toxic epidermal necrolysis	TEN	L51.2
drug reaction with eosinophilia	DRESS Syndrome	L27
lichen planus	Lichen Planus	L43
acne vulgaris	Acne	L70
rosacea	Rosacea	L71
alopecia areata	Alopecia Areata	L63
androgenetic alopecia	Male Pattern Baldness	L64
telogen effluvium	Telogen Effluvium	L65
vitiligo	Vitiligo	L80
keloid	Keloid	L91.0
melasma	Melasma	L81.1
actinic keratosis	Actinic Keratosis	L57.0
pressure ulcer	Pressure Ulcer	L89
diabetic foot ulcer	Diabetic Foot Ulcer	E11.6
hidradenitis suppurativa	Hidradenitis Suppurativa	L73.2
rheumatoid arthritis	RA	M06
juvenile idiopathic arthritis	JIA	M08
osteoarthritis	OA	M19
osteoarthritis of knee	OA Knee	M17
osteoarthritis of hip	OA Hip	M16
septic arthritis	Septic Arthritis	M00
reactive arthritis	Reactive Arthritis	M02
ankylosing spondylitis	AS	M45
systemic lupus erythematosus	SLE	M32
lupus nephritis	Lupus Nephritis	M32.1
dermatomyositis	Dermatomyositis	M33
polymyositis	Polymyositis	M33.2
systemic sclerosis	Scleroderma	M34
sjogren syndrome	Sjogren's Syndrome	M35.0
mixed connective tissue disease	MCTD	M35.1
vasculitis	Vasculitis	M31
giant cell arteritis	GCA	M31.6
takayasu arteritis	Takayasu's Arteritis	M31.4
polyarteritis nodosa	PAN	M30.0
granulomatosis with polyangiitis	GPA/Wegener's	M31.3
behcet disease	Behcet's Disease	M35.2
antiphospholipid syndrome	APS	D68.6
cervical spondylosis	Cervical Spondylosis	M47.8
lumbar spondylosis	Lumbar Spondylosis	M47.8
lumbar disc herniation	Lumbar Disc	M51
spinal stenosis	Spinal Stenosis	M48.0
spondylolisthesis	Spondylolisthesis	M43.1
osteoporosis	Osteoporosis	M81
osteomalacia	Osteomalacia	M83
paget disease of bone	Paget's Disease	M88
osteomyelitis	Osteomyelitis	M86
avascular necrosis	AVN	M87
rotator cuff tear	Rotator Cuff Tear	M75.1
frozen shoulder	Frozen Shoulder	M75.0
lateral epicondylitis	Tennis Elbow	M77.1
medial epicondylitis	Golfer's Elbow	M77.0
plantar fasciitis	Plantar Fasciitis	M72.2
achilles tendinitis	Achilles Tendinitis	M76.6
de quervain tenosynovitis	De Quervain's	M65.4
trigger finger	Trigger Finger	M65.3
ganglion cyst	Ganglion	M67.4
baker cyst	Baker's Cyst	M71.2
fibromyalgia	Fibromyalgia	M79.7
polymyalgia rheumatica	PMR	M35.3
acute glomerulonephritis	Acute GN	N00
rapidly progressive glomerulonephritis	RPGN	N01
chronic glomerulonephritis	Chronic GN	N03
nephrotic syndrome	Nephrotic Syndrome	N04
nephritic syndrome	Nephritic Syndrome	N05
iga nephropathy	IgA Nephropathy	N02
membranous nephropathy	Membranous Nephropathy	N04
minimal change disease	MCD	N04
focal segmental glomerulosclerosis	FSGS	N04
diabetic kidney disease	DKD	N08
acute kidney injury	AKI	N17
chronic kidney disease	CKD	N18
end stage renal disease	ESRD	N18.6
renal tubular acidosis	RTA	N25.8
nephrolithiasis	Kidney Stones	N20
ureteral calculus	Ureteral Stone	N20.1
hydronephrosis	Hydronephrosis	N13
renal cyst	Renal Cyst	N28.1
polycystic kidney disease	PKD	Q61
renal artery stenosis	Renal Artery Stenosis	I70.1
urinary tract infection	UTI	N39.0
acute cystitis	Cystitis	N30.0
acute pyelonephritis	Pyelonephritis	N10
chronic pyelonephritis	Chronic Pyelonephritis	N11
urethritis	Urethritis	N34
urinary incontinence	Urinary Incontinence	N39.4
overactive bladder	OAB	N32.8
benign prostatic hyperplasia	BPH	N40
prostatitis	Prostatitis	N41
epididymitis	Epididymitis	N45
orchitis	Orchitis	N45
varicocele	Varicocele	I86.1
hydrocele	Hydrocele	N43
testicular torsion	Testicular Torsion	N44
phimosis	Phimosis	N47
balanitis	Balanitis	N48.1
endometriosis	Endometriosis	N80
adenomyosis	Adenomyosis	N80.0
uterine fibroids	Uterine Fibroids	D25
cervical polyp	Cervical Polyp	N84.1
endometrial polyp	Endometrial Polyp	N84.0
cervicitis	Cervicitis	N72
vaginitis	Vaginitis	N76
bacterial vaginosis	BV	N77.1
pelvic inflammatory disease	PID	N73
ovarian torsion	Ovarian Torsion	N83.5
ectopic pregnancy	Ectopic Pregnancy	O00
miscarriage	Miscarriage	O03
molar pregnancy	Molar Pregnancy	O01
placenta previa	Placenta Previa	O44
placental abruption	Placental Abruption	O45
preeclampsia	Preeclampsia	O14
eclampsia	Eclampsia	O15
gestational hypertension	Gestational HTN	O13
hyperemesis gravidarum	HG	O21.1
premature rupture of membranes	PROM	O42
preterm labor	Preterm Labor	O60
postpartum hemorrhage	PPH	O72
puerperal sepsis	Puerperal Sepsis	O85
mastitis	Mastitis	N61
fibroadenoma of breast	Fibroadenoma	D24
fibrocystic breast disease	Fibrocystic Disease	N60
dysfunctional uterine bleeding	DUB	N93
amenorrhea	Amenorrhea	N91
dysmenorrhea	Dysmenorrhea	N94.4
menorrhagia	Menorrhagia	N92.0
menopausal syndrome	Menopausal Syndrome	N95
infertility female	Female Infertility	N97
infertility male	Male Infertility	N46
neonatal jaundice	Neonatal Jaundice	P59
neonatal sepsis	Neonatal Sepsis	P36
respiratory distress syndrome of newborn	RDS Newborn	P22
meconium aspiration	MAS	P24.0
birth asphyxia	Birth Asphyxia	P21
congenital heart disease	CHD	Q24
ventricular septal defect	VSD	Q21.0
atrial septal defect	ASD	Q21.1
patent ductus arteriosus	PDA	Q25.0
tetralogy of fallot	TOF	Q21.3
coarctation of aorta	Coarctation	Q25.1
pyloric stenosis	Pyloric Stenosis	Q40.0
hirschsprung disease	Hirschsprung Disease	Q43.1
cleft lip and palate	Cleft Lip/Palate	Q37
down syndrome	Down Syndrome	Q90
turner syndrome	Turner Syndrome	Q96
klinefelter syndrome	Klinefelter Syndrome	Q98
febrile seizure	Febrile Seizure	R56.0
kawasaki disease	Kawasaki Disease	M30.3
henoch schonlein purpura	HSP	D69.0
nephroblastoma	Wilms Tumor	C64
retinoblastoma	Retinoblastoma	C69.2
neuroblastoma	Neuroblastoma	C74
